date time,[Input]Dam/water_level,[SP]Control Group 1/PID Rule,[Output]Woodruff_Dam_simple/CrestLevel,[IP]Control Group 1/PID Rule,[DP]Control Group 1/PID Rule,[PID]Control Group 1/PID Rule_isActive
2023-08-10 22:30:00,23.2274159284,23.1916224,21.5541427753,,,1
2023-08-10 22:35:00,23.2242202084,23.1916224,21.5545608546,,,1
2023-08-10 22:40:00,23.2207054478,23.1916224,21.5551615621,,,1
2023-08-10 22:45:00,23.2170905846,23.1916224,21.5562283879,,,1
2023-08-10 22:50:00,23.2134834993,23.1906064,21.5567184268,,,1
2023-08-10 22:55:00,23.2104779541,23.1895904,21.557357709,,,1
2023-08-10 23:00:00,23.2078939663,23.1885744,21.5576351315,,,1
2023-08-10 23:05:00,23.2054811368,23.1885744,21.5585431482,,,1
2023-08-10 23:10:00,23.2028023185,23.1885744,21.5594590075,,,1
2023-08-10 23:15:00,23.2001526627,23.1885744,21.5607483872,,,1
2023-08-10 23:20:00,23.1974321013,23.1885744,21.5621734161,,,1
2023-08-10 23:25:00,23.1948017017,23.1885744,21.5638184032,,,1
2023-08-10 23:30:00,23.1922277049,23.1885744,21.5655490847,,,1
2023-08-10 23:35:00,23.1896374998,23.1885744,21.5673890837,,,1
2023-08-10 23:40:00,23.1870019021,23.1885744,21.5693974619,,,1
2023-08-10 23:45:00,23.1841671277,23.1885744,21.5716002899,,,1
2023-08-10 23:50:00,23.1812411338,23.1885744,21.5741325459,,,1
2023-08-10 23:55:00,23.1782901173,23.1885744,21.5769133371,,,1
2023-08-11 00:00:00,23.1753733771,23.1885744,21.5798912073,,,1
2023-08-11 00:05:00,23.1725156874,23.1885744,21.5830166608,,,1
2023-08-11 00:10:00,23.1695829083,23.1885744,21.5862663353,,,1
2023-08-11 00:15:00,23.166565637,23.1885744,21.5897520481,,,1
2023-08-11 00:20:00,23.1634748197,23.1885744,21.5934863909,,,1
2023-08-11 00:25:00,23.1605114909,23.1885744,21.5974650197,,,1
2023-08-11 00:30:00,23.15777527,23.1885744,21.6015194572,,,1
2023-08-11 00:35:00,23.1552732135,23.1885744,21.6055563815,,,1
2023-08-11 00:40:00,23.1528541067,23.1885744,21.6095560978,,,1
2023-08-11 00:45:00,23.1504289209,23.1885744,21.6136346008,,,1
2023-08-11 00:50:00,23.1480010655,23.1885744,21.6178634782,,,1
2023-08-11 00:55:00,23.1460450157,23.1885744,21.6222401625,,,1
2023-08-11 01:00:00,23.1450646309,23.1885744,21.6263567651,,,1
2023-08-11 01:05:00,23.1445216737,23.1895904,21.6306254192,,,1
2023-08-11 01:10:00,23.1437746894,23.1906064,21.6346376682,,,1
